1.2000
24.6981,0.4791,24.7419,0.4809,-0.00, 
25.1772,0.4791,25.2228,0.4809,-0.00, 
25.6562,0.4790,25.7038,0.4810, 0.00, 
26.1352,0.4790,26.1848,0.4810, 0.01, 
26.6142,0.4790,26.6658,0.4810, 0.01, 
27.0932,0.4790,27.1468,0.4810, 0.02, 
27.5722,0.4789,27.6278,0.4811, 0.02, 
28.0511,0.4789,28.1089,0.4811, 0.03, 
28.5300,0.4789,28.5900,0.4811, 0.03, 
29.0088,0.4789,29.0712,0.4811, 0.04, 
29.4877,0.4788,29.5523,0.4812, 0.05, 
29.9665,0.4788,30.0335,0.4812, 0.05, 
30.4453,0.4788,30.5147,0.4812, 0.06, 
30.9240,0.4787,30.9960,0.4813, 0.06, 
31.4028,0.4787,31.4772,0.4813, 0.07, 
31.8814,0.4787,31.9586,0.4813, 0.07, 
32.3601,0.4786,32.4399,0.4814, 0.08, 
32.8387,0.4786,32.9213,0.4814, 0.09, 
33.3173,0.4786,33.4027,0.4814, 0.09, 
33.7959,0.4785,33.8841,0.4815, 0.10, 
34.2744,0.4785,34.3656,0.4815, 0.11, 
34.7529,0.4785,34.8471,0.4815, 0.12, 
35.2314,0.4784,35.3286,0.4816, 0.12, 
35.7098,0.4784,35.8102,0.4816, 0.13, 
36.1882,0.4784,36.2918,0.4816, 0.14, 
36.6665,0.4783,36.7735,0.4817, 0.15, 
37.1448,0.4783,37.2552,0.4817, 0.15, 
37.6231,0.4782,37.7369,0.4818, 0.16, 
38.1013,0.4782,38.2187,0.4818, 0.17, 
38.5795,0.4782,38.7005,0.4818, 0.18, 
39.0576,0.4781,39.1824,0.4819, 0.19, 
39.5357,0.4781,39.6643,0.4819, 0.20, 
40.0137,0.4780,40.1463,0.4820, 0.21, 
40.4917,0.4780,40.6283,0.4820, 0.22, 
40.9697,0.4779,41.1103,0.4821, 0.23, 
41.4476,0.4779,41.5924,0.4821, 0.24, 
41.9254,0.4778,42.0746,0.4822, 0.25, 
42.4032,0.4778,42.5568,0.4822, 0.26, 
42.8804,0.4766,43.0408,0.4858, 0.27, 
43.3579,0.4784,43.5281,0.4888, 0.30, 
43.8368,0.4795,44.0200,0.4949, 0.33, 
44.3184,0.4836,44.5176,0.5004, 0.37, 
44.8036,0.4868,45.0224,0.5092, 0.41, 
45.2935,0.4931,45.5357,0.5173, 0.47, 
45.7892,0.4984,46.0588,0.5288, 0.53, 
46.2918,0.5067,46.5930,0.5397, 0.61, 
46.8022,0.5141,47.1398,0.5539, 0.70, 
47.3214,0.5243,47.7006,0.5677, 0.80, 
47.8492,0.5313,48.2756,0.5823, 0.91, 
48.3842,0.5388,48.8638,0.5940, 1.04, 
48.9252,0.5431,49.4640,0.6065, 1.18, 
49.4707,0.5479,50.0753,0.6161, 1.33, 
50.0194,0.5496,50.6966,0.6264, 1.51, 
50.5701,0.5518,51.3267,0.6338, 1.70, 
51.1215,0.5509,51.9645,0.6419, 1.90, 
51.6723,0.5506,52.6089,0.6470, 2.13, 
52.2212,0.5472,53.2588,0.6528, 2.37, 
52.7671,0.5445,53.9129,0.6555, 2.63, 
53.3093,0.5398,54.5707,0.6602, 2.90, 
53.8477,0.5370,55.2323,0.6630, 3.20, 
54.3822,0.5321,55.8978,0.6679, 3.51, 
54.9128,0.5290,56.5672,0.6710, 3.84, 
55.4392,0.5239,57.2408,0.6761, 4.19, 
55.9615,0.5207,57.9185,0.6793, 4.56, 
56.4796,0.5154,58.6004,0.6846, 4.95, 
56.9933,0.5120,59.2867,0.6880, 5.37, 
57.5026,0.5066,59.9774,0.6934, 5.80, 
58.0075,0.5030,60.6725,0.6970, 6.25, 
58.5077,0.4975,61.3723,0.7025, 6.73, 
59.0033,0.4938,62.0767,0.7062, 7.23, 
59.4943,0.4881,62.7857,0.7119, 7.75, 
59.9805,0.4843,63.4995,0.7157, 8.29, 
60.4619,0.4786,64.2181,0.7214, 8.86, 
60.9385,0.4747,64.9415,0.7253, 9.45, 
61.4104,0.4689,65.6696,0.7311,10.06, 
61.8774,0.4651,66.4026,0.7349,10.69, 
62.3395,0.4593,67.1405,0.7407,11.35, 
62.7970,0.4555,67.8830,0.7445,12.03, 
63.2496,0.4499,68.6304,0.7501,12.74, 
63.6977,0.4462,69.3823,0.7538,13.46, 
64.1411,0.4407,70.1389,0.7593,14.21, 
64.5801,0.4372,70.8999,0.7628,14.98, 
65.0147,0.4320,71.6653,0.7680,15.77, 
65.4452,0.4289,72.4348,0.7711,16.58, 
65.8716,0.4240,73.2084,0.7760,17.41, 
66.2942,0.4212,73.9858,0.7788,18.25, 
66.7132,0.4168,74.7668,0.7832,19.12, 
67.1288,0.4145,75.5512,0.7855,20.00, 
67.5413,0.4105,76.3387,0.7895,20.89, 
67.9510,0.4088,77.1290,0.7912,21.80, 
68.3581,0.4054,77.9219,0.7946,22.72, 
68.7630,0.4043,78.7170,0.7957,23.65, 
69.1660,0.4016,79.5140,0.7984,24.60, 
69.5673,0.4012,80.3127,0.7988,25.54, 
69.9675,0.3991,81.1125,0.8009,26.50, 
70.3667,0.3994,81.9133,0.8006,27.46, 
70.7715,0.4102,82.7085,0.7898,28.39, 
71.1821,0.4108,83.4979,0.7892,29.29, 
71.5983,0.4216,84.2817,0.7784,30.17, 
72.0201,0.4221,85.0599,0.7779,31.02, 
72.4474,0.4326,85.8326,0.7674,31.84, 
72.8802,0.4329,86.5998,0.7671,32.64, 
73.3183,0.4433,87.3617,0.7567,33.41, 
